11	xiaoming	1	20171225
11	xiaofang	1	20171225
11	xiaofang	2	20171225
11	xiaoshan	1	20171225
11	xiaoli	1	20171225
12	zhangsan	1	20171225
12	lisi	1	20171225
31	wangwu	1	20171225
31	mazi	1	20171225
12	daming	1	20171225
11	xiaoming	1	20171225
11	xiaofang	1	20171225
11	xiaofang	2	20171225
11	xiaoshan	1	20171225
11	xiaoli	1	20171225
12	zhangsan	1	20171225
12	lisi	1	20171225
31	wangwu	1	20171225
31	mazi	1	20171225
12	daming	1	20171225
31	wangwu	1	20171225
31	mazi	1	20171225
12	daming	1	20171225
12	daming	2	20171225
12	dahui	1	20171225
11	sunwukong	1	20171225
11	zhubajie	1	20171225
11	shaseng	1	20171225
